Interval,Top Keyword,Count,sentiment
2007Q1,Iraq,65,neutral
2007Q1,Baghdad,23,neutral
2007Q1,Iran,18,neutral
2007Q1,Pro,14,neutral
2007Q1,House,13,neutral
2007Q1,New,12,neutral
2007Q1,Bomb,11,neutral
2007Q1,White,9,neutral
2007Q1,The,9,neutral
2007Q1,Iraqi,9,neutral
2007Q1,Led,8,neutral
2007Q1,Saudi,7,neutral
2007Q1,Aid,7,neutral
2007Q1,Palestinians,7,neutral
2007Q1,Strategy,6,neutral
2007Q1,Attack,6,neutral
2007Q1,Russia,6,neutral
2007Q1,Military,6,neutral
2007Q1,School,6,neutral
2007Q1,Somalia,5,neutral
2007Q1,Sur,5,neutral
2007Q1,Caucus,5,neutral
2007Q1,Super,5,positive
2007Q1,Sunni,4,neutral
2007Q1,Intelligence,4,neutral
2007Q1,Plan,4,neutral
2007Q1,Brazil,4,neutral
2007Q1,Libby,4,neutral
2007Q1,Deal,4,neutral
2007Q1,Bowl,4,positive
2007Q1,Hamas,4,neutral
2007Q1,North,4,neutral
2007Q1,Green,4,neutral
2007Q1,Anti,4,neutral
2007Q1,Car,4,neutral
2007Q1,Walter,4,neutral
2007Q1,Henry,4,neutral
2007Q1,Wes,4,neutral
2007Q1,Bronx,4,neutral
2007Q1,Crime,4,neutral
2007Q1,Jersey,3,neutral
2007Q1,Life,3,neutral
2007Q1,Empire,3,neutral
2007Q1,Zone,3,neutral
2007Q1,Age,3,neutral
2007Q1,Home,3,positive
2007Q1,Tax,3,neutral
2007Q1,Cut,3,neutral
2007Q1,General,3,neutral
2007Q1,the,3,neutral
2007Q2,China,21,neutral
2007Q2,War,14,neutral
2007Q2,Immigration,11,neutral
2007Q2,Gaza,10,neutral
2007Q2,Pakistan,8,neutral
2007Q2,Israel,7,neutral
2007Q2,Show,7,neutral
2007Q2,London,7,neutral
2007Q2,Climate,6,neutral
2007Q2,World,6,neutral
2007Q2,Murder,6,neutral
2007Q2,Dow,6,neutral
2007Q2,Jones,6,neutral
2007Q2,Bloomberg,6,positive
2007Q2,West,5,neutral
2007Q2,President,5,neutral
2007Q2,Bank,5,neutral
2007Q2,Nigeria,5,neutral
2007Q2,Korea,5,neutral
2007Q2,Microsoft,5,neutral
2007Q2,Long,4,neutral
2007Q2,History,4,neutral
2007Q2,Vermont,4,neutral
2007Q2,Chrysler,4,neutral
2007Q2,Europe,4,neutral
2007Q2,Israeli,4,neutral
2007Q2,Sing,4,neutral
2007Q2,Dar,4,neutral
2007Q2,Street,4,neutral
2007Q2,Taliban,4,neutral
2007Q2,Ethiopia,4,neutral
2007Q2,Joint,4,neutral
2007Q2,Chiefs,4,neutral
2007Q2,Fat,4,neutral
2007Q3,Myanmar,13,neutral
2007Q3,Orleans,11,neutral
2007Q3,Bridge,10,neutral
2007Q3,City,9,neutral
2007Q3,Case,8,neutral
2007Q3,Room,8,neutral
2007Q3,Force,7,neutral
2007Q3,Hurricane,7,neutral
2007Q3,Spy,7,neutral
2007Q3,Bomber,5,neutral
2007Q3,After,5,neutral
2007Q3,Suicide,5,negative
2007Q3,Terror,5,negative
2007Q3,Stand,5,neutral
